epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,8273.51,1.3552,0.57661,1.2206,0.96709,0.99406,0.98478,0.61119,1.37819,0.47185,1.30005,0.00566875,0.00566875,0.00566875
37,8502.95,1.35181,0.58268,1.21876,0.96445,0.99303,0.98194,0.61474,1.37393,0.46827,1.29764,0.005545,0.005545,0.005545
38,8732.52,1.34559,0.5769,1.21589,0.96298,0.99076,0.98238,0.61424,1.36704,0.46897,1.29287,0.00542125,0.00542125,0.00542125
39,8962.11,1.34718,0.57655,1.21696,0.96976,0.99416,0.98321,0.6148,1.36463,0.46648,1.29383,0.0052975,0.0052975,0.0052975
40,9191.49,1.33704,0.5731,1.20635,0.96751,0.99087,0.98126,0.61675,1.36232,0.46298,1.28915,0.00517375,0.00517375,0.00517375
41,9421.03,1.33784,0.56859,1.21207,0.96935,0.99296,0.98224,0.61941,1.36011,0.45999,1.28957,0.00505,0.00505,0.00505
42,9650.44,1.34287,0.56953,1.20847,0.96702,0.99033,0.98187,0.62022,1.35964,0.4574,1.28926,0.00492625,0.00492625,0.00492625
43,9879.92,1.33793,0.56341,1.21245,0.96598,0.99595,0.98241,0.6193,1.36071,0.4571,1.29089,0.0048025,0.0048025,0.0048025
44,10110.7,1.3253,0.56523,1.20441,0.96678,0.99488,0.98299,0.62079,1.36013,0.45595,1.29056,0.00467875,0.00467875,0.00467875
45,10340.5,1.33356,0.56338,1.21035,0.96843,0.99131,0.98118,0.61728,1.35915,0.45546,1.29065,0.004555,0.004555,0.004555
46,10570,1.32283,0.55463,1.20491,0.96742,0.9901,0.98107,0.61873,1.36031,0.4553,1.29126,0.00443125,0.00443125,0.00443125
47,10814.4,1.32211,0.55415,1.20516,0.96613,0.98998,0.9813,0.61579,1.36085,0.45708,1.29093,0.0043075,0.0043075,0.0043075
48,11044.7,1.32079,0.55295,1.20251,0.96894,0.98844,0.98228,0.61654,1.35835,0.45463,1.29133,0.00418375,0.00418375,0.00418375
49,11272.7,1.31034,0.5472,1.19735,0.96941,0.98918,0.98262,0.61632,1.36063,0.45423,1.29242,0.00406,0.00406,0.00406
50,11499.6,1.31219,0.54794,1.19668,0.96824,0.98824,0.98139,0.6166,1.36365,0.45243,1.29354,0.00393625,0.00393625,0.00393625
51,11726.5,1.30817,0.54642,1.19934,0.97008,0.99126,0.983,0.61509,1.36494,0.45048,1.29379,0.0038125,0.0038125,0.0038125
52,11953.3,1.3115,0.54647,1.19687,0.97024,0.98914,0.98352,0.6135,1.36643,0.44968,1.2961,0.00368875,0.00368875,0.00368875
53,12180.2,1.30945,0.54225,1.19516,0.97131,0.98838,0.98312,0.6143,1.36535,0.45069,1.29641,0.003565,0.003565,0.003565
54,14626.7,1.29976,0.53942,1.18889,0.97038,0.98906,0.98311,0.6152,1.36683,0.4506,1.29681,0.00344125,0.00344125,0.00344125
55,14850.7,1.29627,0.53826,1.1889,0.96835,0.98999,0.98289,0.61634,1.36866,0.45142,1.2976,0.0033175,0.0033175,0.0033175
56,15074.6,1.29559,0.53359,1.19155,0.96822,0.99,0.98296,0.61599,1.3684,0.45229,1.29674,0.00319375,0.00319375,0.00319375
57,15298.6,1.29537,0.53355,1.18911,0.96887,0.98758,0.98247,0.61822,1.36849,0.45294,1.2975,0.00307,0.00307,0.00307
58,15521.7,1.29259,0.5341,1.1819,0.97017,0.98775,0.9824,0.61925,1.36831,0.45341,1.29696,0.00294625,0.00294625,0.00294625
59,15743.4,1.28951,0.53128,1.18085,0.96276,0.99298,0.98223,0.61638,1.36843,0.45241,1.29678,0.0028225,0.0028225,0.0028225
60,15966,1.28476,0.52527,1.17867,0.96281,0.9935,0.98232,0.61532,1.36887,0.4526,1.29715,0.00269875,0.00269875,0.00269875
61,16189.8,1.27344,0.52362,1.17602,0.96261,0.9935,0.98241,0.61407,1.36953,0.45341,1.29754,0.002575,0.002575,0.002575
62,16413.5,1.27556,0.51808,1.17783,0.9627,0.9935,0.98219,0.6145,1.36946,0.45472,1.29785,0.00245125,0.00245125,0.00245125
63,16636.6,1.2734,0.51884,1.17659,0.96342,0.9935,0.98226,0.61559,1.36919,0.4542,1.29757,0.0023275,0.0023275,0.0023275
64,16858.2,1.27147,0.51844,1.17444,0.96365,0.9935,0.98221,0.61429,1.36956,0.45357,1.29776,0.00220375,0.00220375,0.00220375
65,17079.8,1.26169,0.51515,1.16991,0.96413,0.9935,0.98209,0.61421,1.36939,0.45293,1.29767,0.00208,0.00208,0.00208
66,17301.5,1.26581,0.51232,1.16723,0.96426,0.99335,0.98212,0.61413,1.3694,0.45262,1.29788,0.00195625,0.00195625,0.00195625
67,17523,1.25899,0.50813,1.16751,0.96438,0.993,0.98219,0.61525,1.36976,0.45191,1.29776,0.0018325,0.0018325,0.0018325
68,17744.7,1.26202,0.50763,1.17052,0.96421,0.9935,0.98229,0.6161,1.36861,0.45099,1.29786,0.00170875,0.00170875,0.00170875
69,18010.9,1.25321,0.50362,1.16151,0.96429,0.99319,0.98227,0.61555,1.36901,0.45022,1.29772,0.001585,0.001585,0.001585
70,18244,1.25282,0.50171,1.16583,0.96437,0.99295,0.98224,0.61624,1.36914,0.45075,1.29741,0.00146125,0.00146125,0.00146125
71,257.898,1.28796,0.47185,1.23686,0.96444,0.99301,0.98224,0.6167,1.3694,0.45074,1.29773,0.0013375,0.0013375,0.0013375
72,227.436,1.2524,0.49991,1.16388,0.96443,0.99294,0.9822,0.61735,1.36956,0.45085,1.29778,0.00121375,0.00121375,0.00121375
73,452.824,1.25038,0.49643,1.16955,0.96454,0.99295,0.98229,0.6165,1.36907,0.45069,1.2976,0.00109,0.00109,0.00109
74,677.769,1.23898,0.4936,1.1584,0.96455,0.99306,0.9822,0.6171,1.36934,0.45016,1.2976,0.00096625,0.00096625,0.00096625
75,902.747,1.24727,0.49616,1.16296,0.96469,0.99312,0.98222,0.61642,1.36989,0.44941,1.29804,0.0008425,0.0008425,0.0008425
76,1127.92,1.24597,0.49281,1.16045,0.96474,0.9935,0.98222,0.61646,1.36941,0.44925,1.29802,0.00071875,0.00071875,0.00071875
77,1351.25,1.23693,0.48869,1.15524,0.96456,0.9935,0.98221,0.61598,1.36972,0.44929,1.29803,0.000595,0.000595,0.000595
78,1573.79,1.24489,0.48924,1.16102,0.96453,0.9935,0.9822,0.61588,1.36993,0.44984,1.29804,0.00047125,0.00047125,0.00047125
79,1796.41,1.23284,0.48741,1.15634,0.96445,0.9935,0.98215,0.61701,1.36939,0.4497,1.2981,0.0003475,0.0003475,0.0003475
80,2018.98,1.23076,0.48586,1.15346,0.96449,0.9935,0.9822,0.61702,1.36949,0.45019,1.2983,0.00022375,0.00022375,0.00022375
