epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.213,1.65779,3.30314,1.24581,0.89275,0.88016,0.91521,0.48738,1.52508,0.94451,1.22458,0.00332735,0.00332735,0.00332735
2,471.551,1.5598,1.60643,1.22166,0.92908,0.94187,0.96012,0.51964,1.49998,0.87391,1.2591,0.00657826,0.00657826,0.00657826
3,701.092,1.60005,1.19834,1.27257,0.80592,0.83141,0.89607,0.47549,1.57878,1.04121,1.35479,0.00974666,0.00974666,0.00974666
4,930.669,1.61655,1.00741,1.32228,0.89979,0.91367,0.95051,0.51602,1.48682,0.90938,1.34521,0.00962875,0.00962875,0.00962875
5,1160.24,1.5748,0.88258,1.31536,0.95642,0.9563,0.97096,0.52605,1.47335,0.69433,1.33813,0.009505,0.009505,0.009505
6,1389.78,1.53935,0.81065,1.30334,0.9578,0.97251,0.97601,0.54691,1.47723,0.65647,1.35763,0.00938125,0.00938125,0.00938125
7,1619.25,1.52308,0.76655,1.30228,0.95211,0.96558,0.97178,0.5444,1.49508,0.64674,1.3608,0.0092575,0.0092575,0.0092575
8,1848.78,1.50385,0.74593,1.29368,0.94315,0.96934,0.97547,0.55338,1.48887,0.62467,1.3442,0.00913375,0.00913375,0.00913375
9,2078.4,1.48846,0.73031,1.28713,0.96026,0.95747,0.97134,0.54379,1.4658,0.62037,1.37883,0.00901,0.00901,0.00901
10,2307.8,1.47807,0.71443,1.28281,0.95007,0.96975,0.97629,0.55787,1.47301,0.60707,1.34003,0.00888625,0.00888625,0.00888625
11,2537.33,1.46177,0.69921,1.27123,0.95443,0.97773,0.97567,0.56934,1.4511,0.5915,1.32917,0.0087625,0.0087625,0.0087625
12,2766.78,1.46688,0.68903,1.27076,0.95909,0.98802,0.98062,0.56993,1.45702,0.57125,1.33471,0.00863875,0.00863875,0.00863875
13,2996.32,1.44697,0.67464,1.26376,0.93505,0.98757,0.97962,0.57371,1.41335,0.57368,1.33174,0.008515,0.008515,0.008515
14,3225.68,1.44036,0.67052,1.25911,0.95051,0.98354,0.97891,0.5775,1.41198,0.55562,1.31694,0.00839125,0.00839125,0.00839125
15,3455.24,1.43917,0.66773,1.26145,0.96276,0.98869,0.98251,0.58405,1.4086,0.55,1.31938,0.0082675,0.0082675,0.0082675
16,3684.6,1.42405,0.65113,1.25284,0.95858,0.98181,0.98102,0.58609,1.40519,0.53763,1.32892,0.00814375,0.00814375,0.00814375
17,3914.12,1.42925,0.65033,1.26246,0.96527,0.98255,0.98176,0.58657,1.40741,0.52662,1.32448,0.00802,0.00802,0.00802
18,4143.48,1.42627,0.64745,1.25248,0.96705,0.98644,0.98226,0.59131,1.40088,0.53109,1.31636,0.00789625,0.00789625,0.00789625
19,4373.04,1.41002,0.63822,1.2462,0.95719,0.98617,0.98317,0.59226,1.39912,0.51716,1.30939,0.0077725,0.0077725,0.0077725
20,4602.46,1.41027,0.63491,1.24632,0.96441,0.98909,0.98242,0.60178,1.39597,0.51168,1.31079,0.00764875,0.00764875,0.00764875
21,4832.01,1.40819,0.63526,1.24949,0.95931,0.9864,0.9817,0.59153,1.40186,0.50731,1.31431,0.007525,0.007525,0.007525
22,5061.33,1.40319,0.62471,1.2446,0.95953,0.9886,0.97985,0.59654,1.40679,0.51267,1.31632,0.00740125,0.00740125,0.00740125
23,5290.83,1.39805,0.61935,1.24517,0.96429,0.98997,0.98323,0.60465,1.40134,0.5052,1.31451,0.0072775,0.0072775,0.0072775
24,5520.2,1.39642,0.61693,1.24129,0.96832,0.9926,0.98542,0.60038,1.38451,0.5004,1.30658,0.00715375,0.00715375,0.00715375
25,5749.7,1.38372,0.61473,1.23196,0.96054,0.99109,0.98416,0.60232,1.38094,0.49326,1.29817,0.00703,0.00703,0.00703
26,5979.12,1.38849,0.61092,1.23175,0.96798,0.99481,0.98516,0.60848,1.38489,0.48737,1.29823,0.00690625,0.00690625,0.00690625
27,6208.57,1.38728,0.6107,1.23544,0.96436,0.99417,0.98264,0.60771,1.39414,0.48875,1.3014,0.0067825,0.0067825,0.0067825
28,6438.02,1.37643,0.60498,1.23779,0.97179,0.99239,0.98547,0.60933,1.37909,0.48836,1.29949,0.00665875,0.00665875,0.00665875
29,6667.39,1.37069,0.60132,1.22453,0.9645,0.99139,0.98427,0.60529,1.37565,0.48548,1.29851,0.006535,0.006535,0.006535
30,6896.9,1.37637,0.60101,1.22773,0.9684,0.99321,0.98354,0.60758,1.38875,0.47852,1.30187,0.00641125,0.00641125,0.00641125
31,7126.2,1.36936,0.59479,1.23165,0.96793,0.99057,0.98304,0.61068,1.37256,0.47382,1.2981,0.0062875,0.0062875,0.0062875
32,7355.7,1.36539,0.58832,1.22573,0.96779,0.98968,0.98321,0.60467,1.38587,0.47398,1.30335,0.00616375,0.00616375,0.00616375
33,7585.06,1.3685,0.59146,1.22347,0.96637,0.98979,0.98292,0.61177,1.37227,0.47659,1.29811,0.00604,0.00604,0.00604
34,7814.5,1.35322,0.58956,1.21448,0.96939,0.99171,0.98263,0.61418,1.37099,0.4673,1.29765,0.00591625,0.00591625,0.00591625
35,8043.93,1.35953,0.58802,1.21873,0.96505,0.99239,0.9826,0.61044,1.37468,0.46757,1.29712,0.0057925,0.0057925,0.0057925
