epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11205,1.35243,0.57555,1.19892,0.96994,0.99123,0.98371,0.61638,1.38446,0.47504,1.27271,0.00492625,0.00492625,0.00492625
43,11471.3,1.34347,0.57406,1.19793,0.97116,0.99158,0.98349,0.61528,1.38344,0.47518,1.26993,0.0048025,0.0048025,0.0048025
44,11738,1.34375,0.57203,1.19563,0.96645,0.9929,0.98373,0.61451,1.38497,0.47198,1.27144,0.00467875,0.00467875,0.00467875
45,12005,1.34264,0.56787,1.1935,0.96877,0.99684,0.9836,0.61673,1.38388,0.47051,1.27052,0.004555,0.004555,0.004555
46,12271.2,1.33832,0.56576,1.19322,0.96856,0.99641,0.98369,0.62034,1.38325,0.47068,1.27093,0.00443125,0.00443125,0.00443125
47,12537.5,1.33677,0.56551,1.19134,0.96897,0.99676,0.98337,0.61937,1.38345,0.47178,1.26966,0.0043075,0.0043075,0.0043075
48,12803.7,1.33427,0.56245,1.18965,0.96665,0.99581,0.98256,0.61924,1.38387,0.46812,1.2731,0.00418375,0.00418375,0.00418375
49,13069.9,1.32882,0.5601,1.18797,0.96523,0.99453,0.98268,0.62042,1.38395,0.46839,1.2725,0.00406,0.00406,0.00406
50,13336.2,1.32056,0.55732,1.18604,0.96487,0.99412,0.98231,0.61982,1.38263,0.46858,1.27244,0.00393625,0.00393625,0.00393625
51,13602.7,1.31565,0.55101,1.18559,0.96557,0.99197,0.98192,0.62106,1.38166,0.46664,1.26967,0.0038125,0.0038125,0.0038125
52,13869.5,1.32249,0.55253,1.1851,0.96467,0.99197,0.98212,0.61984,1.38149,0.4661,1.27197,0.00368875,0.00368875,0.00368875
53,14136.1,1.31864,0.54985,1.18151,0.96357,0.99395,0.98216,0.62102,1.38163,0.46448,1.27262,0.003565,0.003565,0.003565
54,14402.5,1.30983,0.54475,1.18141,0.96412,0.99388,0.98237,0.62115,1.38139,0.4648,1.27296,0.00344125,0.00344125,0.00344125
55,14669,1.30776,0.54377,1.17971,0.96356,0.99427,0.9823,0.61914,1.38041,0.46437,1.27229,0.0033175,0.0033175,0.0033175
56,14935.1,1.30895,0.54219,1.18284,0.95984,0.99109,0.98041,0.62084,1.37994,0.46342,1.27292,0.00319375,0.00319375,0.00319375
